Task_Type,Workload_Level,Execution_Time,Resource_Type,Priority_Status,Energy_Consumption,Carbon_Emission,Emission_Category,Region,Time_Slot,Decision
Order Processing,Medium,31,Container_Small,High,0.27,0.11,Very Low,us-east,Night,Green Region Immediate
Quality Control,Low,21,VM_Small,Medium,0.41,0.16,Low,ap-east,Weekend,Green Region Immediate
Warehouse Allocation,High,94,VM_Large,Critical,2.15,0.66,Medium,eu-central,Night,Schedule Night (Low Load)
Inventory Update,Medium,48,VM_Medium,Low,1.01,0.56,Medium,ap-south,Night,Schedule Night (Low Load)
Payment Settlement,High,101,Container_Large,High,1.64,0.42,Medium,eu-central,Peak,Schedule Night (Low Load)
Shipment Tracking,Low,15,VM_Small,Medium,0.44,0.22,Low,us-east,Peak,Green Region Immediate
Shipment Tracking,Critical,294,Bare_Metal,Critical,8.11,2.15,Very High,us-west,Night,Shift to Green Region + Night
Order Processing,Low,12,VM_Small,Medium,0.24,0.02,Very Low,Green_Region,Night,Execute Immediately
Returns Processing,Critical,298,VM_XLarge,Critical,7.09,4.19,Very High,ap-south,Peak,Shift to Green Region + Night
Demand Forecasting,High,76,VM_Large,Critical,2.68,1.09,High,us-east,Peak,Shift to Green Region + Night
Shipment Tracking,Low,24,VM_Small,High,0.45,0.14,Very Low,us-west,Weekend,Green Region Immediate
Returns Processing,Critical,279,VM_XLarge,Medium,5.47,2.69,Very High,us-east,Weekend,Shift to Green Region + Night
Inventory Update,High,117,Container_Large,Low,1.32,0.6,Medium,us-east,Night,Schedule Night (Low Load)
Order Processing,Critical,299,VM_XLarge,High,6.07,3.84,Very High,ap-south,Off-Peak,Shift to Green Region + Night
Shipment Tracking,Critical,206,VM_XLarge,Medium,3.83,1.26,High,eu-central,Night,Shift to Green Region + Night
Payment Settlement,Critical,148,VM_XLarge,High,3.69,0.44,Medium,Green_Region,Off-Peak,Schedule Night (Low Load)
Shipment Tracking,High,94,Container_Large,Medium,1.2,0.13,Very Low,Green_Region,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,Medium,34,Container_Small,High,0.35,0.15,Low,ap-east,Off-Peak,Green Region Immediate
Inventory Update,Critical,134,Bare_Metal,Critical,4.34,1.77,Very High,us-east,Weekend,Shift to Green Region + Night
Demand Forecasting,High,87,VM_Large,Low,3.07,0.89,High,eu-central,Peak,Shift to Green Region + Night
Inventory Update,Critical,288,Bare_Metal,Medium,8.3,3.49,Very High,us-east,Off-Peak,Shift to Green Region + Night
Inventory Update,Medium,33,VM_Medium,High,0.65,0.27,Low,ap-east,Weekend,Green Region Immediate
Fleet Dispatch,Low,18,Container_Micro,Low,0.15,0.02,Very Low,Green_Region,Off-Peak,Execute Immediately
Returns Processing,Low,11,VM_Small,Critical,0.24,0.02,Very Low,Green_Region,Night,Execute Immediately
Shipment Tracking,Critical,254,Bare_Metal,High,8.1,0.59,Medium,Green_Region,Off-Peak,Schedule Night (Low Load)
Supplier Management,Critical,248,Bare_Metal,Medium,7.36,5.18,Very High,ap-south,Off-Peak,Shift to Green Region + Night
Warehouse Allocation,Critical,196,VM_XLarge,High,5.73,3.16,Very High,ap-south,Peak,Shift to Green Region + Night
Payment Settlement,Low,12,VM_Small,Critical,0.38,0.08,Very Low,us-west,Peak,Green Region Immediate
Supplier Management,High,81,VM_Large,Critical,2.84,0.74,Medium,eu-central,Peak,Schedule Night (Low Load)
Warehouse Allocation,Medium,36,VM_Medium,Medium,1.01,0.28,Low,eu-central,Peak,Green Region Immediate
Inventory Update,Critical,222,Bare_Metal,Medium,9.39,5.35,Very High,ap-south,Peak,Shift to Green Region + Night
Payment Settlement,Low,22,Container_Micro,Medium,0.24,0.11,Very Low,ap-east,Peak,Green Region Immediate
Warehouse Allocation,Low,15,VM_Small,Medium,0.44,0.2,Low,us-east,Peak,Green Region Immediate
Supplier Management,Low,10,VM_Small,Critical,0.32,0.1,Very Low,us-west,Peak,Green Region Immediate
Shipment Tracking,High,106,VM_Large,Critical,2.64,1.63,Very High,ap-south,Night,Schedule Night (Low Load)
Demand Forecasting,Medium,47,Container_Small,High,0.54,0.3,Low,ap-south,Off-Peak,Green Region Immediate
Inventory Update,Medium,49,Container_Small,High,0.52,0.27,Low,ap-east,Off-Peak,Green Region Immediate
Quality Control,Medium,56,VM_Medium,Low,1.66,1.15,High,ap-south,Peak,Shift to Green Region + Night
Warehouse Allocation,Critical,236,Bare_Metal,Critical,6.26,1.71,Very High,us-west,Night,Shift to Green Region + Night
Payment Settlement,High,61,VM_Large,Low,1.54,0.08,Very Low,Green_Region,Weekend,Execute Immediately
Inventory Update,Critical,235,Bare_Metal,Medium,9.82,2.97,Very High,eu-central,Peak,Shift to Green Region + Night
Shipment Tracking,Critical,295,VM_XLarge,Critical,7.66,1.65,Very High,us-west,Peak,Shift to Green Region + Night
Order Processing,Medium,46,VM_Medium,Low,0.97,0.29,Low,eu-central,Weekend,Green Region Immediate
Demand Forecasting,High,111,VM_Large,High,2.85,1.18,High,us-east,Weekend,Shift to Green Region + Night
Fleet Dispatch,High,94,Container_Large,Low,1.07,0.64,Medium,ap-south,Night,Schedule Night (Low Load)
Order Processing,Critical,225,Bare_Metal,Critical,7.28,2.96,Very High,us-east,Off-Peak,Shift to Green Region + Night
Demand Forecasting,Medium,44,VM_Medium,Low,1.32,0.33,Low,us-west,Peak,Green Region Immediate
Supplier Management,High,106,VM_Large,High,2.74,0.71,Medium,eu-central,Off-Peak,Schedule Night (Low Load)
Fleet Dispatch,Medium,50,VM_Medium,Low,1.0,0.08,Very Low,Green_Region,Night,Execute Immediately
Payment Settlement,High,92,Container_Large,Low,1.59,0.71,Medium,ap-east,Peak,Schedule Night (Low Load)
Fleet Dispatch,Critical,259,VM_XLarge,Medium,4.83,3.4,Very High,ap-south,Night,Shift to Green Region + Night
Fleet Dispatch,High,74,Container_Large,Low,0.99,0.08,Very Low,Green_Region,Off-Peak,Execute Immediately
Order Processing,High,112,Container_Large,Low,1.3,0.6,Medium,us-east,Night,Schedule Night (Low Load)
Shipment Tracking,Medium,54,VM_Medium,High,1.6,0.69,Medium,us-east,Peak,Schedule Night (Low Load)
Warehouse Allocation,Medium,36,VM_Medium,Medium,0.81,0.08,Very Low,Green_Region,Off-Peak,Execute Immediately
Order Processing,Low,22,Container_Micro,High,0.18,0.06,Very Low,eu-central,Weekend,Green Region Immediate
Warehouse Allocation,Critical,273,Bare_Metal,Medium,7.54,3.06,Very High,ap-east,Night,Shift to Green Region + Night
Returns Processing,Medium,34,Container_Small,Medium,0.46,0.26,Low,ap-south,Peak,Green Region Immediate
Order Processing,Medium,50,VM_Medium,High,1.49,0.12,Very Low,Green_Region,Peak,Schedule Night (Low Load)
Shipment Tracking,Low,20,VM_Small,Low,0.42,0.26,Low,ap-south,Off-Peak,Green Region Immediate
Quality Control,Critical,300,VM_XLarge,Critical,5.32,2.26,Very High,us-east,Weekend,Shift to Green Region + Night
Payment Settlement,Low,25,VM_Small,Medium,0.49,0.25,Low,ap-east,Weekend,Green Region Immediate
Returns Processing,Medium,46,Container_Small,Low,0.52,0.05,Very Low,Green_Region,Off-Peak,Execute Immediately
Supplier Management,Medium,45,Container_Small,Critical,0.47,0.32,Low,ap-south,Weekend,Green Region Immediate
Returns Processing,Medium,54,VM_Medium,Low,1.12,0.37,Low,eu-central,Night,Green Region Immediate
Supplier Management,Low,19,VM_Small,Critical,0.41,0.29,Low,ap-south,Off-Peak,Green Region Immediate
Inventory Update,Low,29,VM_Small,High,0.51,0.05,Very Low,Green_Region,Night,Execute Immediately
Warehouse Allocation,Medium,32,VM_Medium,Critical,0.9,0.59,Medium,ap-south,Peak,Schedule Night (Low Load)
Quality Control,High,119,VM_Large,High,3.02,1.54,High,ap-east,Weekend,Shift to Green Region + Night
Returns Processing,Low,24,VM_Small,Low,0.45,0.05,Very Low,Green_Region,Weekend,Execute Immediately
Returns Processing,High,103,Container_Large,High,1.36,0.29,Low,us-west,Off-Peak,Green Region Immediate
Shipment Tracking,Medium,39,VM_Medium,Critical,0.84,0.28,Low,eu-central,Off-Peak,Green Region Immediate
Order Processing,Low,10,VM_Small,High,0.24,0.16,Low,ap-south,Off-Peak,Green Region Immediate
Supplier Management,Critical,281,Bare_Metal,Low,10.48,6.13,Very High,ap-south,Peak,Shift to Green Region + Night
Inventory Update,Low,28,VM_Small,Critical,0.53,0.18,Low,eu-central,Weekend,Green Region Immediate
Demand Forecasting,Low,25,VM_Small,High,0.43,0.09,Very Low,us-west,Night,Green Region Immediate
Returns Processing,Medium,43,VM_Medium,High,0.95,0.43,Medium,us-east,Weekend,Schedule Night (Low Load)
Shipment Tracking,Low,29,Container_Micro,Low,0.24,0.16,Low,ap-south,Night,Green Region Immediate
Demand Forecasting,Critical,210,VM_XLarge,Low,5.72,3.52,Very High,ap-south,Peak,Shift to Green Region + Night
Order Processing,Critical,187,Bare_Metal,Low,6.13,1.65,Very High,us-west,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,High,85,Container_Large,Critical,1.05,0.25,Low,us-west,Off-Peak,Green Region Immediate
Quality Control,Critical,236,VM_XLarge,Low,4.49,0.37,Low,Green_Region,Night,Execute Immediately
Quality Control,Critical,283,Bare_Metal,Critical,8.91,4.36,Very High,us-east,Off-Peak,Shift to Green Region + Night
Supplier Management,Low,12,VM_Small,Low,0.29,0.12,Very Low,us-east,Off-Peak,Green Region Immediate
Payment Settlement,Medium,46,Container_Small,High,0.49,0.21,Low,us-east,Weekend,Green Region Immediate
Quality Control,High,82,Container_Large,High,1.31,0.46,Medium,eu-central,Peak,Shift to Green Region + Night
Returns Processing,Medium,36,Container_Small,Critical,0.34,0.02,Very Low,Green_Region,Weekend,Execute Immediately
Payment Settlement,Low,27,VM_Small,Critical,0.48,0.04,Very Low,Green_Region,Night,Execute Immediately
Inventory Update,Critical,236,VM_XLarge,Medium,4.48,1.18,High,us-west,Weekend,Shift to Green Region + Night
Supplier Management,Medium,40,VM_Medium,Medium,0.83,0.56,Medium,ap-south,Weekend,Shift to Green Region + Night
Quality Control,Critical,186,Bare_Metal,Low,5.73,1.97,Very High,eu-central,Weekend,Shift to Green Region + Night
Inventory Update,Low,26,Container_Micro,High,0.2,0.08,Very Low,ap-east,Night,Green Region Immediate
Returns Processing,Medium,34,VM_Medium,Critical,0.69,0.47,Medium,ap-south,Night,Schedule Night (Low Load)
Shipment Tracking,Critical,247,VM_XLarge,Medium,4.94,1.11,High,us-west,Weekend,Shift to Green Region + Night
Fleet Dispatch,Low,19,Container_Micro,Low,0.17,0.1,Very Low,ap-south,Off-Peak,Green Region Immediate
Warehouse Allocation,High,77,Container_Large,Medium,1.23,0.38,Low,eu-central,Peak,Green Region Immediate
Demand Forecasting,High,94,VM_Large,High,2.65,1.21,High,us-east,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,Low,20,VM_Small,Critical,0.39,0.09,Very Low,us-west,Weekend,Green Region Immediate
Order Processing,Low,17,VM_Small,Low,0.34,0.19,Low,ap-south,Night,Green Region Immediate
Quality Control,High,71,Container_Large,Low,0.92,0.11,Very Low,Green_Region,Off-Peak,Execute Immediately
Returns Processing,High,103,Container_Large,Critical,1.35,0.56,Medium,ap-east,Off-Peak,Execute Immediately
Shipment Tracking,Critical,290,Bare_Metal,Critical,8.66,4.82,Very High,ap-south,Weekend,Shift to Green Region + Night
Supplier Management,Low,20,Container_Micro,Low,0.24,0.08,Very Low,eu-central,Peak,Schedule Night (Low Load)
Fleet Dispatch,Low,23,VM_Small,High,0.42,0.25,Low,ap-south,Night,Green Region Immediate
Warehouse Allocation,Low,24,Container_Micro,Critical,0.21,0.07,Very Low,eu-central,Weekend,Green Region Immediate
Supplier Management,Low,30,VM_Small,Critical,0.54,0.11,Very Low,us-west,Weekend,Green Region Immediate
Fleet Dispatch,High,90,VM_Large,High,3.08,0.94,High,us-west,Peak,Shift to Green Region + Night
Quality Control,Medium,56,VM_Medium,Critical,1.17,0.69,Medium,ap-south,Weekend,Schedule Night (Low Load)
Quality Control,High,105,Container_Large,High,1.17,0.34,Low,us-west,Night,Green Region Immediate
Fleet Dispatch,Critical,280,VM_XLarge,Critical,6.88,4.24,Very High,ap-south,Peak,Shift to Green Region + Night
Fleet Dispatch,Critical,220,Bare_Metal,Low,7.22,0.66,Medium,Green_Region,Off-Peak,Schedule Night (Low Load)
Shipment Tracking,High,114,VM_Large,Medium,3.93,1.19,High,us-west,Peak,Shift to Green Region + Night
Fleet Dispatch,Medium,50,Container_Small,High,0.48,0.21,Low,ap-east,Night,Execute Immediately
Inventory Update,Low,20,VM_Small,Medium,0.38,0.12,Very Low,eu-central,Night,Green Region Immediate
Demand Forecasting,Critical,224,VM_XLarge,Medium,4.24,1.25,High,eu-central,Weekend,Shift to Green Region + Night
Warehouse Allocation,Medium,48,VM_Medium,Critical,1.02,0.65,Medium,ap-south,Weekend,Schedule Night (Low Load)
Returns Processing,Medium,50,Container_Small,Medium,0.57,0.4,Medium,ap-south,Off-Peak,Schedule Night (Low Load)
Quality Control,Critical,193,Bare_Metal,Medium,5.72,0.36,Low,Green_Region,Night,Execute Immediately
Supplier Management,Low,18,Container_Micro,Medium,0.14,0.04,Very Low,eu-central,Night,Green Region Immediate
Payment Settlement,High,112,VM_Large,Critical,3.78,1.11,High,us-west,Peak,Shift to Green Region + Night
Returns Processing,Medium,35,Container_Small,Critical,0.33,0.11,Very Low,eu-central,Weekend,Green Region Immediate
Shipment Tracking,High,109,Container_Large,Medium,1.39,0.91,High,ap-south,Off-Peak,Execute Immediately
Shipment Tracking,High,106,VM_Large,Low,2.73,1.2,High,us-east,Off-Peak,Shift to Green Region + Night
Demand Forecasting,High,64,Container_Large,Critical,0.84,0.09,Very Low,Green_Region,Off-Peak,Green Region Immediate
Order Processing,Low,10,Container_Micro,Critical,0.08,0.01,Very Low,Green_Region,Night,Execute Immediately
Returns Processing,Low,15,Container_Micro,Medium,0.12,0.04,Very Low,us-west,Weekend,Green Region Immediate
Shipment Tracking,High,91,VM_Large,Low,2.32,1.13,High,us-east,Weekend,Shift to Green Region + Night
Returns Processing,High,63,Container_Large,Critical,0.74,0.32,Low,ap-east,Night,Green Region Immediate
Order Processing,Critical,186,Bare_Metal,High,6.02,1.95,Very High,eu-central,Off-Peak,Shift to Green Region + Night
Inventory Update,High,111,VM_Large,High,2.73,1.14,High,us-east,Night,Shift to Green Region + Night
Shipment Tracking,Critical,137,Bare_Metal,Critical,6.06,3.04,Very High,ap-east,Peak,Shift to Green Region + Night
Returns Processing,Low,29,Container_Micro,High,0.26,0.13,Very Low,ap-east,Off-Peak,Green Region Immediate
Warehouse Allocation,Medium,44,Container_Small,Medium,0.47,0.15,Low,eu-central,Off-Peak,Green Region Immediate
Supplier Management,High,76,Container_Large,Critical,0.91,0.53,Medium,ap-south,Night,Schedule Night (Low Load)
Fleet Dispatch,Medium,58,VM_Medium,Low,1.79,0.77,Medium,us-east,Peak,Schedule Night (Low Load)
Shipment Tracking,Critical,257,Bare_Metal,High,7.41,2.46,Very High,eu-central,Weekend,Shift to Green Region + Night
Supplier Management,High,106,Container_Large,Medium,1.26,0.51,Medium,us-east,Weekend,Schedule Night (Low Load)
Order Processing,Medium,53,Container_Small,High,0.53,0.22,Low,ap-east,Weekend,Green Region Immediate
Fleet Dispatch,Low,20,VM_Small,Low,0.4,0.02,Very Low,Green_Region,Weekend,Execute Immediately
Fleet Dispatch,High,109,VM_Large,Medium,2.92,1.0,High,eu-central,Off-Peak,Shift to Green Region + Night
Order Processing,Medium,32,Container_Small,Low,0.3,0.13,Very Low,us-east,Weekend,Green Region Immediate
Fleet Dispatch,Critical,123,Bare_Metal,Low,4.13,1.05,High,eu-central,Weekend,Shift to Green Region + Night
Supplier Management,Low,30,VM_Small,High,0.54,0.23,Low,ap-east,Weekend,Green Region Immediate
Fleet Dispatch,Low,25,Container_Micro,Medium,0.2,0.05,Very Low,us-west,Night,Green Region Immediate
Inventory Update,High,77,Container_Large,Low,1.22,0.79,Medium,ap-south,Peak,Schedule Night (Low Load)
Shipment Tracking,Low,22,Container_Micro,Medium,0.18,0.08,Very Low,us-east,Weekend,Green Region Immediate
Inventory Update,High,68,Container_Large,Medium,0.82,0.18,Low,us-west,Weekend,Green Region Immediate
Payment Settlement,High,116,Container_Large,Low,1.28,0.61,Medium,ap-east,Night,Schedule Night (Low Load)
Warehouse Allocation,Low,17,Container_Micro,Medium,0.16,0.05,Very Low,eu-central,Off-Peak,Green Region Immediate
Shipment Tracking,Low,13,Container_Micro,High,0.11,0.03,Very Low,eu-central,Weekend,Green Region Immediate
Returns Processing,Medium,33,Container_Small,Low,0.44,0.04,Very Low,Green_Region,Peak,Execute Immediately
Demand Forecasting,High,63,VM_Large,Low,1.58,1.0,High,ap-south,Night,Shift to Green Region + Night
Demand Forecasting,Low,16,VM_Small,High,0.33,0.1,Very Low,eu-central,Weekend,Green Region Immediate
Returns Processing,Medium,33,Container_Small,High,0.31,0.13,Very Low,ap-east,Night,Green Region Immediate
Inventory Update,High,79,Container_Large,Medium,1.03,0.44,Medium,us-east,Off-Peak,Schedule Night (Low Load)
Payment Settlement,Critical,279,Bare_Metal,Medium,8.62,4.15,Very High,us-east,Off-Peak,Shift to Green Region + Night
Inventory Update,High,98,VM_Large,High,3.43,1.12,High,eu-central,Peak,Shift to Green Region + Night
Inventory Update,Critical,288,VM_XLarge,High,5.65,2.68,Very High,us-east,Off-Peak,Shift to Green Region + Night
Payment Settlement,Critical,212,Bare_Metal,Critical,6.19,2.66,Very High,us-east,Weekend,Shift to Green Region + Night
Payment Settlement,Medium,42,VM_Medium,Medium,1.23,0.36,Low,us-west,Peak,Green Region Immediate
Returns Processing,Medium,50,VM_Medium,Critical,1.18,0.33,Low,eu-central,Off-Peak,Green Region Immediate
Shipment Tracking,Low,27,Container_Micro,Medium,0.3,0.1,Very Low,us-west,Peak,Green Region Immediate
Quality Control,Low,19,Container_Micro,Medium,0.22,0.03,Very Low,Green_Region,Peak,Execute Immediately
Supplier Management,Low,23,VM_Small,Low,0.43,0.04,Very Low,Green_Region,Weekend,Execute Immediately
Order Processing,Medium,48,VM_Medium,Critical,0.99,0.46,Medium,us-east,Night,Schedule Night (Low Load)
Supplier Management,Medium,44,Container_Small,High,0.6,0.3,Low,ap-east,Peak,Green Region Immediate
Inventory Update,Low,18,VM_Small,Critical,0.51,0.24,Low,us-east,Peak,Green Region Immediate
Inventory Update,Critical,139,VM_XLarge,Low,4.5,1.99,Very High,ap-east,Peak,Shift to Green Region + Night
Payment Settlement,High,111,Container_Large,Low,1.22,0.41,Medium,eu-central,Night,Schedule Night (Low Load)
Order Processing,Low,13,VM_Small,Low,0.3,0.1,Very Low,eu-central,Off-Peak,Green Region Immediate
Fleet Dispatch,High,74,Container_Large,Medium,0.85,0.42,Medium,us-east,Night,Schedule Night (Low Load)
Inventory Update,Medium,33,VM_Medium,Low,0.71,0.19,Low,eu-central,Weekend,Green Region Immediate
Shipment Tracking,Medium,60,VM_Medium,High,1.74,0.65,Medium,eu-central,Peak,Schedule Night (Low Load)
Payment Settlement,Critical,218,Bare_Metal,Critical,7.04,2.15,Very High,us-west,Off-Peak,Shift to Green Region + Night
Quality Control,Low,11,VM_Small,Critical,0.27,0.11,Very Low,ap-east,Off-Peak,Green Region Immediate
Shipment Tracking,Medium,36,VM_Medium,Critical,0.74,0.35,Low,us-east,Night,Green Region Immediate
Demand Forecasting,Medium,44,Container_Small,High,0.46,0.2,Low,us-east,Weekend,Green Region Immediate
Returns Processing,Medium,45,Container_Small,High,0.64,0.07,Very Low,Green_Region,Peak,Execute Immediately
Order Processing,Medium,44,Container_Small,Critical,0.58,0.25,Low,us-east,Peak,Green Region Immediate
Payment Settlement,Critical,298,VM_XLarge,Low,5.06,3.07,Very High,ap-south,Night,Shift to Green Region + Night
Demand Forecasting,Critical,150,Bare_Metal,Low,5.2,0.37,Low,Green_Region,Off-Peak,Execute Immediately
Payment Settlement,Low,20,VM_Small,Critical,0.51,0.13,Very Low,us-west,Peak,Green Region Immediate
Returns Processing,Low,22,VM_Small,Critical,0.6,0.13,Very Low,us-west,Peak,Green Region Immediate
Supplier Management,Low,25,VM_Small,Medium,0.5,0.04,Very Low,Green_Region,Off-Peak,Execute Immediately
Shipment Tracking,Medium,46,VM_Medium,Critical,1.05,0.72,Medium,ap-south,Off-Peak,Schedule Night (Low Load)
Shipment Tracking,High,70,Container_Large,High,1.12,0.54,Medium,us-east,Peak,Schedule Night (Low Load)
Supplier Management,High,66,VM_Large,High,1.65,0.1,Very Low,Green_Region,Night,Green Region Immediate
Demand Forecasting,Critical,188,Bare_Metal,Critical,5.66,3.21,Very High,ap-south,Weekend,Shift to Green Region + Night
Quality Control,Medium,51,VM_Medium,Low,1.51,0.66,Medium,us-east,Peak,Schedule Night (Low Load)
Quality Control,Low,29,Container_Micro,High,0.26,0.12,Very Low,ap-east,Weekend,Green Region Immediate
Fleet Dispatch,Low,29,Container_Micro,High,0.35,0.14,Very Low,us-east,Peak,Green Region Immediate
Fleet Dispatch,Medium,57,VM_Medium,High,1.66,1.15,High,ap-south,Peak,Shift to Green Region + Night
Demand Forecasting,Low,15,VM_Small,Medium,0.41,0.28,Low,ap-south,Peak,Green Region Immediate
Quality Control,Low,18,VM_Small,Medium,0.49,0.06,Very Low,Green_Region,Peak,Execute Immediately
Inventory Update,Critical,284,Bare_Metal,Medium,10.89,4.39,Very High,us-east,Peak,Shift to Green Region + Night
Payment Settlement,Low,19,VM_Small,Medium,0.39,0.17,Low,us-east,Off-Peak,Green Region Immediate
Supplier Management,Critical,275,Bare_Metal,Medium,10.73,4.71,Very High,us-east,Peak,Shift to Green Region + Night
Supplier Management,Low,15,VM_Small,Medium,0.31,0.21,Low,ap-south,Weekend,Green Region Immediate
Payment Settlement,High,65,Container_Large,Low,0.8,0.33,Low,us-east,Night,Green Region Immediate
Warehouse Allocation,Low,24,VM_Small,Critical,0.49,0.04,Very Low,Green_Region,Off-Peak,Execute Immediately
Supplier Management,Critical,198,Bare_Metal,High,6.56,0.69,Medium,Green_Region,Off-Peak,Schedule Night (Low Load)
Shipment Tracking,Medium,35,Container_Small,Critical,0.32,0.08,Very Low,eu-central,Night,Green Region Immediate
Returns Processing,Medium,46,VM_Medium,Low,1.33,0.52,Medium,ap-east,Peak,Schedule Night (Low Load)
Shipment Tracking,High,109,VM_Large,Medium,2.73,0.67,Medium,us-west,Weekend,Schedule Night (Low Load)
Warehouse Allocation,Low,16,Container_Micro,Low,0.18,0.01,Very Low,Green_Region,Peak,Execute Immediately
Demand Forecasting,Critical,283,VM_XLarge,Critical,5.57,2.43,Very High,ap-east,Off-Peak,Shift to Green Region + Night
Payment Settlement,Medium,45,VM_Medium,Medium,0.98,0.42,Medium,ap-east,Weekend,Schedule Night (Low Load)
Fleet Dispatch,Medium,37,Container_Small,High,0.38,0.15,Low,ap-east,Weekend,Green Region Immediate
Demand Forecasting,High,109,Container_Large,Critical,1.3,0.59,Medium,ap-east,Weekend,Schedule Night (Low Load)
Fleet Dispatch,Critical,198,VM_XLarge,Medium,4.17,0.99,High,us-west,Off-Peak,Shift to Green Region + Night
Order Processing,Critical,173,VM_XLarge,Low,3.83,2.74,Very High,ap-south,Off-Peak,Shift to Green Region + Night
Quality Control,Medium,54,VM_Medium,Low,1.18,0.82,High,ap-south,Weekend,Shift to Green Region + Night
Fleet Dispatch,Low,23,VM_Small,Critical,0.43,0.04,Very Low,Green_Region,Night,Execute Immediately
Order Processing,Low,14,VM_Small,High,0.29,0.06,Very Low,us-west,Weekend,Green Region Immediate
Shipment Tracking,Medium,34,Container_Small,Critical,0.32,0.14,Very Low,ap-east,Night,Green Region Immediate
Order Processing,Critical,262,Bare_Metal,High,10.43,2.94,Very High,us-west,Peak,Shift to Green Region + Night
Payment Settlement,Medium,52,VM_Medium,Critical,1.15,0.08,Very Low,Green_Region,Off-Peak,Execute Immediately
Demand Forecasting,Medium,33,VM_Medium,High,0.92,0.4,Medium,ap-east,Peak,Schedule Night (Low Load)
Order Processing,Low,26,VM_Small,Low,0.5,0.16,Low,eu-central,Off-Peak,Green Region Immediate
Payment Settlement,Medium,55,Container_Small,Medium,0.63,0.33,Low,ap-east,Off-Peak,Green Region Immediate
Order Processing,Medium,53,Container_Small,Critical,0.53,0.26,Low,ap-east,Night,Green Region Immediate
Fleet Dispatch,Critical,267,Bare_Metal,Medium,8.1,1.74,Very High,us-west,Weekend,Shift to Green Region + Night
Order Processing,Low,21,Container_Micro,Medium,0.24,0.11,Very Low,ap-east,Peak,Green Region Immediate
Inventory Update,High,105,Container_Large,Low,1.19,0.85,High,ap-south,Night,Shift to Green Region + Night
Fleet Dispatch,Medium,49,Container_Small,Medium,0.72,0.42,Medium,ap-south,Peak,Schedule Night (Low Load)
Order Processing,High,113,Container_Large,Medium,1.84,0.2,Low,Green_Region,Peak,Execute Immediately
Demand Forecasting,Medium,49,VM_Medium,Medium,1.0,0.37,Low,eu-central,Night,Green Region Immediate
Shipment Tracking,High,119,VM_Large,Low,2.89,0.85,High,eu-central,Night,Shift to Green Region + Night
Shipment Tracking,Low,19,VM_Small,Low,0.37,0.1,Very Low,us-west,Night,Green Region Immediate
Inventory Update,Critical,203,Bare_Metal,High,6.41,2.49,Very High,ap-east,Off-Peak,Shift to Green Region + Night
Warehouse Allocation,Low,12,Container_Micro,Medium,0.09,0.03,Very Low,eu-central,Night,Green Region Immediate
Warehouse Allocation,High,105,Container_Large,Critical,1.79,0.67,Medium,eu-central,Peak,Shift to Green Region + Night
Warehouse Allocation,High,109,VM_Large,Critical,2.59,1.53,High,ap-south,Night,Shift to Green Region + Night
Returns Processing,Low,18,Container_Micro,Medium,0.15,0.07,Very Low,us-east,Off-Peak,Green Region Immediate
Warehouse Allocation,Medium,55,Container_Small,Critical,0.57,0.06,Very Low,Green_Region,Weekend,Execute Immediately
Warehouse Allocation,Critical,239,Bare_Metal,Low,9.33,0.86,High,Green_Region,Peak,Shift to Green Region + Night
Inventory Update,Medium,32,VM_Medium,Medium,0.91,0.1,Very Low,Green_Region,Peak,Execute Immediately
Payment Settlement,Medium,47,VM_Medium,Low,1.07,0.43,Medium,ap-east,Off-Peak,Schedule Night (Low Load)
Quality Control,Low,29,Container_Micro,Critical,0.22,0.14,Very Low,ap-south,Night,Green Region Immediate
Warehouse Allocation,Low,25,VM_Small,High,0.66,0.43,Medium,ap-south,Peak,Schedule Night (Low Load)
Quality Control,High,82,VM_Large,Critical,2.18,0.66,Medium,us-west,Weekend,Schedule Night (Low Load)
Shipment Tracking,Low,10,VM_Small,High,0.26,0.12,Very Low,ap-east,Off-Peak,Green Region Immediate
Payment Settlement,Medium,53,VM_Medium,Medium,1.5,0.39,Low,eu-central,Peak,Green Region Immediate
Returns Processing,Low,19,VM_Small,Medium,0.5,0.21,Low,ap-east,Peak,Green Region Immediate
Warehouse Allocation,Low,12,Container_Micro,Critical,0.11,0.04,Very Low,us-east,Weekend,Green Region Immediate
Inventory Update,High,90,VM_Large,Critical,2.28,0.85,High,eu-central,Weekend,Shift to Green Region + Night
Warehouse Allocation,Medium,44,VM_Medium,High,1.24,0.68,Medium,ap-south,Peak,Schedule Night (Low Load)
Order Processing,Critical,204,Bare_Metal,Low,6.88,2.87,Very High,us-east,Off-Peak,Shift to Green Region + Night
Inventory Update,Low,25,Container_Micro,Medium,0.29,0.1,Very Low,eu-central,Peak,Green Region Immediate
Quality Control,Medium,52,VM_Medium,Low,1.18,0.84,High,ap-south,Weekend,Shift to Green Region + Night
Returns Processing,Medium,44,VM_Medium,Medium,0.98,0.25,Low,eu-central,Weekend,Green Region Immediate
Returns Processing,Critical,225,Bare_Metal,High,6.61,0.72,Medium,Green_Region,Night,Schedule Night (Low Load)
